STT,Tickers,Index,No of stock,Price,Market Cap,Rate,
1,VCB,HOSE,"3,708,877,448","86,800"," 321,930,562,486,400 ",4.1,
2,BID,HOSE,"4,022,018,040","42,300"," 170,131,363,092,000 ",3.5,
3,CTG,HOSE,"3,723,404,556","31,450"," 117,101,073,286,200 ",3.6,
4,TCB,HOSE,"3,500,139,962","24,700"," 86,453,457,061,400 ",4.1,
5,VPB,HOSE,"2,437,748,366","25,600"," 62,406,358,169,600 ",3.5,
6,ACB,HNX,"2,161,558,460","25,300"," 54,687,429,038,000 ",3.9,
7,MBB,HOSE,"2,773,140,752","18,650"," 51,719,075,024,800 ",4.1,
8,HDB,HOSE,"1,255,694,843","25,150"," 31,580,725,301,450 ",3.8,
9,SHB,HNX,"1,755,336,940","16,100"," 28,260,924,734,000 ",3.4,
10,STB,HOSE,"1,803,653,429","14,550"," 26,243,157,391,950 ",3.6,
11,EIB,HOSE,"1,229,432,904","17,500"," 21,515,075,820,000 ",3.3,
12,TPB,HOSE,"816,573,150","24,600"," 20,087,699,490,000 ",4.1,
13,NVB,HNX,"406,803,587","9,100"," 3,701,912,641,700 ",3.7,